Company Name,Market Capitalization
ALPHA FIRE SERVICES PLC,314985000.0
MULLER & PHIPPS (CEYLON) PLC,311300000.0
MYLAND DEVELOPMENTS PLC,290000000.0
CHRISSWORLD PLC,288000000.0
EXTERMINATORS PLC,258977049.1
AGSTAR PLC,201821119.5
GREENTECH ENERGY PLC,200000000.0
RADIANT GEMS INTERNATIONAL PLC,168240000.0
OFFICE EQUIPMENT PLC,167337170.0
CEYLON PRINTERS PLC,165046750.0
YORK ARCADE HOLDINGS PLC,126187500.0
PARAGON CEYLON PLC,81122708.0
RENUKA FOODS PLC,78182760.0
TESS AGRO PLC,46666666.9
STANDARD CAPITAL PLC,0.0
ANILANA HOTELS AND PROPERTIES PLC,0.0
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,0.0
SERENDIB ENGINEERING GROUP PLC,0.0
KELSEY DEVELOPMENTS PLC,0.0
AITKEN SPENCE PLANTATION MANAGEMENTS PLC,0.0
CITY HOUSING & REAL ESTATE CO. PLC,0.0
BIMPUTH LANKA INVESTMENTS PLC,0.0
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,0.0
